customer_id,name,state,signup_date,tier
1,Alice Johnson,TX,2022-11-24,Bronze
2,Bob Smith,FL,2022-05-21,Bronze
3,Carol Davis,MI,2022-02-22,Silver
4,Dan Wilson,TX,2022-10-07,Silver
5,Eve Martinez,CA,2022-01-17,Bronze
6,Frank Brown,GA,2022-04-30,Silver
7,Grace Lee,FL,2022-10-15,Silver
8,Henry Taylor,GA,2022-12-26,Bronze
9,Iris Anderson,NC,2022-08-18,Bronze
10,Jack Thomas,VA,2022-01-04,Silver
11,Karen Jackson,PA,2022-12-24,Bronze
12,Leo White,FL,2022-03-21,Gold
13,Mia Harris,TX,2022-06-22,Bronze
14,Nate Clark,IL,2022-02-19,Silver
15,Olivia Lewis,WA,2022-11-06,Silver
16,Paul Robinson,GA,2022-08-24,Bronze
17,Quinn Hall,TX,2022-07-13,Silver
18,Rachel Young,NC,2022-11-18,Gold
19,Sam King,NC,2022-07-05,Bronze
20,Tina Wright,CA,2022-02-05,Silver
21,Uma Scott,TX,2022-05-29,Gold
22,Victor Green,PA,2022-02-21,Bronze
23,Wendy Adams,AZ,2022-11-22,Bronze
24,Xavier Baker,IL,2022-07-09,Bronze
25,Yara Gonzalez,NJ,2022-05-17,Gold
26,Zach Nelson,TX,2022-11-28,Silver
27,Amy Carter,GA,2022-03-29,Silver
28,Brian Mitchell,OH,2022-03-25,Bronze
29,Claire Perez,NJ,2022-11-24,Silver
30,Dylan Roberts,IL,2022-12-17,Silver
31,Elena Turner,FL,2022-01-29,Silver
32,Felix Phillips,PA,2022-06-11,Bronze
33,Gina Campbell,MA,2022-04-19,Gold
34,Hank Parker,FL,2022-06-11,Silver
35,Iris Evans,MA,2022-07-22,Gold
36,Jake Edwards,NY,2022-08-23,Bronze
37,Kara Collins,NJ,2022-05-07,Silver
38,Liam Stewart,NJ,2022-05-15,Silver
39,Maya Sanchez,PA,2022-10-26,Bronze
40,Noah Morris,GA,2022-03-12,Bronze
41,Olivia Rogers,AZ,2022-01-25,Bronze
42,Paul Reed,NY,2022-11-18,Silver
43,Quinn Cook,NC,2022-08-05,Bronze
44,Rachel Morgan,NC,2022-07-15,Gold
45,Sam Bell,WA,2022-09-28,Gold
46,Tina Murphy,MI,2022-01-06,Silver
47,Uma Bailey,MA,2022-12-16,Silver
48,Victor Rivera,VA,2022-05-17,Silver
49,Wendy Cooper,WA,2022-02-27,Bronze
50,Zach Richardson,CA,2022-08-21,Gold
51,Amy Cox,GA,2022-05-15,Silver
52,Brian Howard,MA,2022-09-17,Bronze
53,Claire Ward,WA,2022-11-17,Silver
54,Dylan Torres,NC,2022-09-17,Bronze
55,Elena Peterson,VA,2022-07-11,Bronze
56,Felix Gray,MA,2022-09-29,Bronze
57,Gina Ramirez,OH,2022-06-15,Bronze
58,Hank James,MA,2022-07-05,Gold
59,Iris Watson,FL,2022-06-07,Bronze
60,Jake Brooks,TX,2022-10-18,Bronze
61,Kara Kelly,AZ,2022-09-06,Bronze
62,Liam Sanders,VA,2022-09-30,Bronze
63,Maya Price,OH,2022-12-04,Gold
64,Noah Bennett,WA,2022-03-26,Silver
65,Olivia Wood,PA,2022-11-07,Gold
66,Paul Barnes,VA,2022-10-04,Silver
67,Quinn Ross,NJ,2022-04-13,Bronze
68,Rachel Henderson,MI,2022-12-10,Bronze
69,Sam Coleman,OH,2022-09-22,Bronze
70,Tina Jenkins,TX,2022-04-26,Bronze
71,Uma Perry,GA,2022-10-29,Bronze
72,Victor Powell,CA,2022-04-23,Bronze
73,Wendy Long,CA,2022-11-20,Bronze
74,Zach Patterson,AZ,2022-01-17,Bronze
75,Amy Hughes,FL,2022-09-21,Bronze
76,Brian Flores,FL,2022-09-06,Silver
77,Claire Washington,NC,2022-10-20,Bronze
78,Dylan Butler,VA,2022-08-31,Bronze
79,Elena Simmons,TX,2022-02-18,Silver
80,Felix Foster,PA,2022-07-01,Bronze
81,Gina Gonzales,MI,2022-01-28,Silver
82,Hank Bryant,TX,2022-11-27,Bronze
83,Iris Alexander,VA,2022-06-23,Gold
84,Jake Russell,FL,2022-05-08,Bronze
85,Kara Griffin,NY,2022-08-18,Bronze
86,Liam Diaz,OH,2022-05-23,Bronze
87,Maya Hayes,OH,2022-02-08,Silver
88,Noah Myers,TX,2022-10-09,Bronze
89,Olivia Ford,AZ,2022-10-04,Bronze
90,Paul Hamilton,MA,2022-02-17,Silver
91,Quinn Graham,NY,2022-05-02,Bronze
92,Rachel Sullivan,FL,2022-09-04,Gold
93,Sam Wallace,NY,2022-01-31,Bronze
94,Tina Woods,WA,2022-07-19,Gold
95,Uma Cole,WA,2022-08-21,Bronze
96,Victor West,MI,2022-10-12,Silver
97,Wendy Jordan,FL,2022-03-21,Bronze
98,Zach Owens,NC,2022-01-30,Silver
99,Amy Reynolds,NJ,2022-02-01,Bronze
100,Brian Fisher,NC,2022-01-26,Bronze
